DATE,IST_PRC,IST_RPPI,MG_RT,IST_FGR_SL,IST_PRP_SL,IST_MRTG_SL,CNSTR_TRST,RNT_CPI,IST_CPI,TR_PPI,USD_RT,NEMP_RT,IST_CNST_PT,IST_OCCP_PT,IST_CNST_PT_2,IST_OCCP_PT_2,IST_CNST_PT_3,IST_OCCP_PT_3,IST_CNST_PT_6,IST_OCCP_PT_6,IST_CNST_PT_9,IST_OCCP_PT_9
1.01.2013,2063.8,47.81,9.78,138,18235,8423,80.61,297.54,220.87,206.91,1.77,9.7,1134,1001,1437,967,1348,737,1442,758,1292,868
2.02.2013,2113.67,48.8,9.58,120,18971,8836,85.55,298.62,221.43,206.65,1.78,9.7,964,916,1496,964,1437,967,1166,552,1795,754
3.03.2013,2157.45,49.86,9.31,198,21570,10164,94.91,299.99,223.05,208.33,1.81,9.4,1085,880,1134,1001,1496,964,1090,658,1562,1012
4.04.2013,2186.27,50.87,9.06,209,20791,9726,92.61,301.5,224.36,207.27,1.8,8.7,1288,973,964,916,1134,1001,1348,737,1442,758
5.05.2013,2217.8,51.63,8.77,188,22030,10805,91.49,302.87,224.97,209.34,1.83,8.2,1528,1114,1085,880,964,916,1437,967,1166,552
6.06.2013,2262.93,52.37,8.3,155,19357,9762,87.85,304.75,226.5,212.39,1.9,8.1,1289,1062,1288,973,1085,880,1496,964,1090,658
7.07.2013,2299.76,52.89,8.91,192,20668,10071,85.32,306.3,226.5,214.5,1.93,8.6,1317,1292,1528,1114,1288,973,1134,1001,1348,737
8.08.2013,2319.48,53.51,9.78,170,14930,6834,83.41,308.02,226.55,214.59,1.96,9,969,915,1289,1062,1528,1114,964,916,1437,967
9.09.2013,2345.97,54.33,10.73,156,18514,8153,79.18,309.94,229.01,216.48,2.02,9.2,1146,1129,1317,1292,1289,1062,1085,880,1496,964
10.10.2013,2393.49,55.03,10.93,181,14866,6268,78.27,311.75,233.02,217.97,1.99,9.1,940,917,969,915,1317,1292,1288,973,1134,1001
11.11.2013,2474.08,56.22,10.62,345,20935,8866,77.05,313.86,232.67,219.31,2.03,9.3,1234,1293,1146,1129,969,915,1528,1114,964,916
12.12.2013,2481.14,56.71,10.61,395,23922,9069,73.3,315.56,233.44,221.74,2.06,9.6,1986,1468,940,917,1146,1129,1289,1062,1085,880
1.01.2014,2464.11,57.19,11.3,243,17489,7454,86.89,317.12,237.39,229.1,2.22,10.3,1406,1454,1234,1293,940,917,1317,1292,1288,973
2.02.2014,2488.77,58.01,13.03,301,17121,6018,83.83,318.48,238.96,232.27,2.22,10.2,1385,1323,1986,1468,1234,1293,969,915,1528,1114
3.03.2014,2519.09,58.89,13.51,478,17718,6079,84.45,319.67,242.49,233.98,2.22,9.7,2106,2024,1406,1454,1986,1468,1146,1129,1289,1062
4.04.2014,2600.37,60.4,13.52,489,17130,5667,86.73,321.13,246,234.18,2.13,9,1316,917,1385,1323,1406,1454,940,917,1317,1292
5.05.2014,2647.9,61.32,12.94,406,17852,7052,86.23,323.04,246.99,232.96,2.09,8.8,1741,1104,2106,2024,1385,1323,1234,1293,969,915
6.06.2014,2721.23,62.23,12.29,600,19252,7287,84.26,325.48,247.68,233.09,2.12,9.1,1894,1227,1316,917,2106,2024,1986,1468,1146,1129
7.07.2014,2792.84,63.6,11.46,416,17116,7030,80.93,327.65,248.27,234.79,2.12,9.8,1683,1070,1741,1104,1316,917,1406,1454,940,917
8.08.2014,2851.43,65.14,11.06,511,17349,6982,82.21,329.92,248.98,235.78,2.16,10.1,1996,776,1894,1227,1741,1104,1385,1323,1234,1293
9.09.2014,2892.04,66.22,10.91,546,20923,9286,80.93,332.79,249.92,237.79,2.21,10.5,1802,1073,1683,1070,1894,1227,2106,2024,1986,1468
10.10.2014,2965.77,67.2,10.75,556,17240,7338,74.85,335.33,254.74,239.97,2.26,10.4,939,609,1996,776,1683,1070,1316,917,1406,1454
11.11.2014,3027.07,68.53,10.91,500,19566,7978,75.94,336.95,255.41,237.65,2.24,10.7,1533,1116,1802,1073,1996,776,1741,1104,1385,1323
12.12.2014,3080.45,69.69,11.01,534,26698,9586,73.49,338.72,254.24,235.84,2.29,10.9,1868,1336,939,609,1802,1073,1894,1227,2106,2024
1.01.2015,3196.2,71.29,11.01,377,16587,7399,81.09,340.63,257.19,236.61,2.33,11.3,1296,1206,1533,1116,939,609,1683,1070,1316,917
2.02.2015,3289.27,73,10.8,466,17690,7886,87.53,342.26,258.61,239.46,2.46,11.2,1233,1071,1868,1336,1533,1116,1996,776,1741,1104
3.03.2015,3361.97,74.39,10.82,548,21911,9391,89.87,343.69,261.48,241.97,2.59,10.6,1640,1244,1296,1206,1868,1336,1802,1073,1894,1227
4.04.2015,3429.9,75.98,10.97,584,23197,9718,88.79,345.63,266.37,245.42,2.65,9.6,1603,1112,1233,1071,1296,1206,939,609,1683,1070
5.05.2015,3502.86,77.67,11.49,636,21576,8955,89.94,347.76,267.97,248.15,2.65,9.3,1641,1067,1640,1244,1233,1071,1533,1116,1996,776
6.06.2015,3543.93,79.23,11.87,718,21612,8911,88.7,349.78,266.59,248.78,2.71,9.6,1769,1492,1603,1112,1640,1244,1868,1336,1802,1073
7.07.2015,3618.87,80.22,12.28,541,17182,6465,84.09,352.5,266.47,247.99,2.7,9.8,1595,1084,1641,1067,1603,1112,1296,1206,939,609
8.08.2015,3614.58,80.7,12.59,602,18873,7593,82.09,355.12,267.52,250.43,2.85,10.1,1500,1189,1769,1492,1641,1067,1233,1071,1533,1116
9.09.2015,3750.18,81.95,13.57,561,15994,5844,77.23,358.09,270.72,254.25,3.01,10.3,1097,1114,1595,1084,1769,1492,1640,1244,1868,1336
10.10.2015,3823.61,83.32,14.3,780,18468,6117,73.16,360.65,274.93,253.74,2.93,10.5,1150,1115,1500,1189,1595,1084,1603,1112,1296,1206
11.11.2015,3919.95,84.84,14.13,703,20082,6459,78.19,363.26,276.52,250.13,2.88,10.5,1500,1127,1097,1114,1500,1189,1641,1067,1233,1071
12.12.2015,3926.05,85.8,14.01,977,26595,8826,76.13,364.9,276.54,249.31,2.92,10.8,2157,1697,1150,1115,1097,1114,1769,1492,1640,1244
1.01.2016,3907.64,87.16,14.27,498,15526,5685,82.77,367.72,280.29,250.67,3.01,11.1,1873,1198,1500,1127,1150,1115,1595,1084,1603,1112
2.02.2016,3923.93,88.24,14.45,555,18142,6628,85.9,369.7,280.33,250.16,2.95,10.9,1897,1377,2157,1697,1500,1127,1500,1189,1641,1067
3.03.2016,3981.22,89.31,14.45,583,21993,8539,87.99,371.46,280.22,251.17,2.9,10.1,1561,1467,1873,1198,2157,1697,1097,1114,1769,1492
4.04.2016,4053.97,90.62,14.33,540,19537,7050,88.86,374.64,283.18,252.47,2.84,9.3,1375,1230,1897,1377,1873,1198,1150,1115,1595,1084
5.05.2016,4124.23,91.57,13.96,511,21638,7350,85.28,377.52,284.83,256.21,2.93,9.4,1171,1380,1561,1467,1897,1377,1500,1127,1500,1189
6.06.2016,4150.54,92.29,13.84,507,20406,7654,84.48,380.66,285.68,257.27,2.92,10.2,1337,1352,1375,1230,1561,1467,2157,1697,1097,1114
7.07.2016,4290.01,92.91,13.67,300,11903,4073,84.03,383.45,287.81,257.81,2.96,10.7,964,733,1171,1380,1375,1230,1873,1198,1150,1115
8.08.2016,4362.17,94.23,12.86,390,17503,6400,79.26,386.79,287.44,258.01,2.97,11.3,1319,1039,1337,1352,1171,1380,1897,1377,1500,1127
9.09.2016,4391.77,94.88,12.09,323,17040,7310,78.28,390.14,288.76,258.77,2.97,11.3,1282,869,964,733,1337,1352,1561,1467,2157,1697
10.10.2016,4348.83,95.32,12.12,423,21094,8621,73.93,393.52,292.83,260.94,3.07,11.8,1427,1152,1319,1039,964,733,1375,1230,1873,1198
11.11.2016,4363.58,95.74,11.69,596,22499,8949,69.43,395.93,294.1,266.16,3.27,12.1,1500,1494,1282,869,1319,1039,1171,1380,1897,1377
12.12.2016,4392.11,96.82,11.42,585,25147,9091,67.21,398.85,298.67,274.09,3.5,12.7,2177,1656,1427,1152,1282,869,1337,1352,1561,1467
1.01.2017,4384.59,97.47,11.45,441,15807,6272,73.21,402.21,304.44,284.99,3.74,13,1230,1365,1500,1494,1427,1152,964,733,1375,1230
2.02.2017,4414.08,98.56,11.38,458,17783,7247,79.05,404.44,306.82,288.59,3.68,12.6,1425,1277,2177,1656,1500,1494,1319,1039,1171,1380
3.03.2017,4487.28,99.43,11.06,579,22443,9661,92.07,406.37,310.08,291.58,3.67,11.7,1529,1356,1230,1365,2177,1656,1282,869,1337,1352
4.04.2017,4510.31,99.81,11.28,571,20066,8546,93.38,408.55,314.67,293.79,3.66,10.5,1326,1317,1425,1277,1230,1365,1427,1152,964,733
5.05.2017,4559.36,100.44,11.55,530,20287,7698,92.28,411.66,316.52,295.31,3.57,10.2,1592,1329,1529,1356,1425,1277,1500,1494,1319,1039
6.06.2017,4556.64,100.53,11.72,903,17970,6963,90.43,414.2,315.73,295.52,3.53,10.2,3851,1208,1326,1317,1529,1356,2177,1656,1282,869
7.07.2017,4575.05,100.37,12.02,528,18083,6556,87.15,417.84,316.81,297.65,3.57,10.7,1476,913,1592,1329,1326,1317,1230,1365,1427,1152
8.08.2017,4584.98,100.23,12.49,524,18696,6590,87.82,421.01,318,300.18,3.52,10.6,1422,1252,3851,1208,1592,1329,1425,1277,1500,1494
9.09.2017,4569.86,100.53,12.87,797,23471,6910,80.45,425.59,320.06,300.9,3.47,10.6,4845,920,1476,913,3851,1208,1529,1356,2177,1656
10.10.2017,4626.1,100.83,13.05,1321,20906,7033,77.55,429.14,326.75,306.04,3.67,10.3,383,1233,1422,1252,1476,913,1326,1317,1230,1365
11.11.2017,4602.34,100.7,13.12,728,19939,7009,75.46,432.79,330.96,312.21,3.89,10.3,322,1445,4845,920,1422,1252,1592,1329,1425,1277
12.12.2017,4663.87,101.09,13.52,802,22932,6516,72.38,435.6,333.2,316.48,3.85,10.4,541,1773,383,1233,4845,920,3851,1208,1529,1356
1.01.2018,4763.47,100.99,14.14,545,16336,5464,84.62,439.17,335.44,319.6,3.78,10.8,545,1163,322,1445,383,1233,1476,913,1326,1317
2.02.2018,4815.02,101.37,14.68,604,16247,5190,86.18,441.59,337.89,328.17,3.78,10.64,503,1056,541,1773,322,1445,1422,1252,1592,1329
3.03.2018,4772.19,101.06,14.79,556,18714,6050,85.02,444.25,341.98,333.21,3.89,10.12,725,1273,545,1163,541,1773,4845,920,3851,1208
4.04.2018,4815.65,102,14.88,676,17414,5047,86.42,447.53,348.23,341.88,4.06,9.6,672,1345,503,1056,545,1163,383,1233,1476,913
5.05.2018,4840.15,102.67,13.92,854,20061,6100,83.2,450.71,353.13,354.85,4.42,9.7,1047,1355,725,1273,503,1056,322,1445,1422,1252
6.06.2018,4837.66,102.9,13.1,764,20547,7794,79.17,454.04,361.6,365.6,4.64,10.16,913,997,672,1345,725,1273,541,1773,4845,920
7.07.2018,4834.86,102.46,16.88,956,19503,5004,78.98,459.33,364.07,372.06,4.76,10.76,921,1290,1047,1355,672,1345,545,1163,383,1233
8.08.2018,4882.63,102.21,19.02,1141,15262,2082,68.47,464.09,372.39,396.62,5.74,11.12,487,867,913,997,1047,1355,503,1056,322,1445
9.09.2018,4988.87,101.91,25.19,1799,20216,1863,53.22,468.29,393.7,439.78,6.38,11.4,768,1022,921,1290,913,997,725,1273,541,1773
10.10.2018,5123.36,102.96,28.99,2283,27156,2164,51.65,472.13,403.67,443.78,5.87,11.6,439,1347,487,867,921,1290,672,1345,545,1163
11.11.2018,5058.52,103.19,28.63,1922,16058,987,49.03,475.07,397.45,432.55,5.38,12.3,452,1521,768,1022,487,867,1047,1355,503,1056
12.12.2018,5086.3,102.03,27.82,2170,26541,1461,46.14,477.48,396.37,422.94,5.32,13.5,704,1494,439,1347,768,1022,913,997,725,1273
