DATE,IST_PRC,IST_RPPI,MG_RT,IST_FGR_SL,IST_PRP_SL,IST_MRTG_SL,CNSTR_TRST,RNT_CPI,IST_CPI,TR_PPI,USD_RT,NEMP_RT,IST_CNST_PT,IST_OCCP_PT,IST_CNST_PT_2,IST_OCCP_PT_2,IST_CNST_PT_3,IST_OCCP_PT_3,IST_CNST_PT_6,IST_OCCP_PT_6,IST_CNST_PT_9,IST_OCCP_PT_9
2.02.2013,2.416,2.071,-2.02,-13.043,4.036,4.903,6.128,0.363,0.254,-0.126,0.207,0,-14.991,-8.492,4.106,-0.31,6.602,31.208,-19.14,-27.177,38.932,-13.134
3.03.2013,2.071,2.172,-2.835,65,13.7,15.029,10.941,0.459,0.732,0.813,1.938,-3.093,12.552,-3.93,-24.198,3.838,4.106,-0.31,-6.518,19.203,-12.981,34.218
4.04.2013,1.336,2.026,-2.67,5.556,-3.611,-4.309,-2.423,0.503,0.587,-0.509,-0.595,-7.447,18.71,10.568,-14.991,-8.492,-24.198,3.838,23.67,12.006,-7.682,-25.099
5.05.2013,1.442,1.494,-3.218,-10.048,5.959,11.094,-1.209,0.454,0.272,0.999,1.465,-5.747,18.634,14.491,12.552,-3.93,-14.991,-8.492,6.602,31.208,-19.14,-27.177
6.06.2013,2.035,1.433,-5.345,-17.553,-12.133,-9.653,-3.979,0.621,0.68,1.457,3.936,-1.22,-15.641,-4.668,18.71,10.568,12.552,-3.93,4.106,-0.31,-6.518,19.203
7.07.2013,1.628,0.993,7.321,23.871,6.773,3.165,-2.88,0.509,0,0.993,1.899,6.173,2.172,21.657,18.634,14.491,18.71,10.568,-24.198,3.838,23.67,12.006
8.08.2013,0.857,1.172,9.803,-11.458,-27.763,-32.142,-2.239,0.562,0.022,0.042,1.254,4.651,-26.424,-29.18,-15.641,-4.668,18.634,14.491,-14.991,-8.492,6.602,31.208
9.09.2013,1.142,1.532,9.762,-8.235,24.005,19.301,-5.071,0.623,1.086,0.881,3.195,2.222,18.266,23.388,2.172,21.657,-15.641,-4.668,12.552,-3.93,4.106,-0.31
10.10.2013,2.026,1.288,1.794,16.026,-19.704,-23.12,-1.149,0.584,1.751,0.688,-1.331,-1.087,-17.976,-18.778,-26.424,-29.18,2.172,21.657,18.71,10.568,-24.198,3.838
11.11.2013,3.367,2.162,-2.755,90.608,40.825,41.449,-1.559,0.677,-0.15,0.615,1.581,2.198,31.277,41.003,18.266,23.388,-26.424,-29.18,18.634,14.491,-14.991,-8.492
12.12.2013,0.285,0.872,-0.155,14.493,14.268,2.29,-4.867,0.542,0.331,1.108,1.784,3.226,60.94,13.534,-17.976,-18.778,18.266,23.388,-15.641,-4.668,12.552,-3.93
1.01.2014,-0.686,0.846,6.528,-38.481,-26.892,-17.808,18.54,0.494,1.692,3.319,7.728,7.292,-29.204,-0.954,31.277,41.003,-17.976,-18.778,2.172,21.657,18.71,10.568
2.02.2014,1.001,1.434,15.31,23.868,-2.104,-19.265,-3.522,0.429,0.661,1.384,-0.185,-0.971,-1.494,-9.01,60.94,13.534,31.277,41.003,-26.424,-29.18,18.634,14.491
3.03.2014,1.218,1.517,3.645,58.804,3.487,1.014,0.74,0.374,1.477,0.736,0.227,-4.902,52.058,52.986,-29.204,-0.954,60.94,13.534,18.266,23.388,-15.641,-4.668
4.04.2014,3.227,2.564,0.111,2.301,-3.319,-6.777,2.7,0.457,1.447,0.085,-4.073,-7.216,-37.512,-54.694,-1.494,-9.01,-29.204,-0.954,-17.976,-18.778,2.172,21.657
5.05.2014,1.828,1.523,-4.26,-16.973,4.215,24.44,-0.577,0.595,0.402,-0.521,-1.723,-2.222,32.295,20.393,52.058,52.986,-1.494,-9.01,31.277,41.003,-26.424,-29.18
6.06.2014,2.769,1.484,-5.072,47.783,7.842,3.332,-2.285,0.755,0.279,0.056,1.192,3.409,8.788,11.141,-37.512,-54.694,52.058,52.986,60.94,13.534,18.266,23.388
7.07.2014,2.632,2.202,-6.734,-30.667,-11.095,-3.527,-3.952,0.667,0.238,0.729,0.139,7.692,-11.14,-12.795,32.295,20.393,-37.512,-54.694,-29.204,-0.954,-17.976,-18.778
8.08.2014,2.098,2.421,-3.508,22.837,1.361,-0.683,1.582,0.693,0.286,0.422,1.869,3.061,18.598,-27.477,8.788,11.141,32.295,20.393,-1.494,-9.01,31.277,41.003
9.09.2014,1.424,1.658,-1.361,6.849,20.601,32.999,-1.557,0.87,0.378,0.852,2.1,3.96,-9.719,38.273,-11.14,-12.795,8.788,11.141,52.058,52.986,60.94,13.534
10.10.2014,2.549,1.48,-1.426,1.832,-17.603,-20.978,-7.513,0.763,1.929,0.917,2.484,-0.952,-47.891,-43.243,18.598,-27.477,-11.14,-12.795,-37.512,-54.694,-29.204,-0.954
11.11.2014,2.067,1.979,1.493,-10.072,13.492,8.722,1.456,0.483,0.263,-0.967,-1.096,2.885,63.259,83.251,-9.719,38.273,18.598,-27.477,32.295,20.393,-1.494,-9.01
12.12.2014,1.763,1.693,0.916,6.8,36.451,20.155,-3.226,0.525,-0.458,-0.762,2.421,1.869,21.853,19.713,-47.891,-43.243,-9.719,38.273,8.788,11.141,52.058,52.986
1.01.2015,3.758,2.296,-0.059,-29.401,-37.872,-22.815,10.342,0.564,1.16,0.326,1.778,3.67,-30.621,-9.731,63.259,83.251,-47.891,-43.243,-11.14,-12.795,-37.512,-54.694
2.02.2015,2.912,2.399,-1.894,23.607,6.65,6.582,7.942,0.479,0.552,1.205,5.449,-0.885,-4.861,-11.194,21.853,19.713,63.259,83.251,18.598,-27.477,32.295,20.393
3.03.2015,2.21,1.904,0.185,17.597,23.861,19.084,2.673,0.418,1.11,1.048,5.239,-5.357,33.009,16.153,-30.621,-9.731,21.853,19.713,-9.719,38.273,8.788,11.141
4.04.2015,2.021,2.137,1.364,6.569,5.869,3.482,-1.202,0.564,1.87,1.426,2.489,-9.434,-2.256,-10.611,-4.861,-11.194,-30.621,-9.731,-47.891,-43.243,-11.14,-12.795
5.05.2015,2.127,2.224,4.788,8.904,-6.988,-7.851,1.295,0.616,0.601,1.112,-0.076,-3.125,2.371,-4.047,33.009,16.153,-4.861,-11.194,63.259,83.251,18.598,-27.477
6.06.2015,1.172,2.008,3.264,12.893,0.167,-0.491,-1.379,0.581,-0.515,0.254,2.079,3.226,7.8,39.831,-2.256,-10.611,33.009,16.153,21.853,19.713,-9.719,38.273
7.07.2015,2.115,1.25,3.498,-24.652,-20.498,-27.449,-5.197,0.778,-0.045,-0.318,-0.243,2.083,-9.836,-27.346,2.371,-4.047,-2.256,-10.611,-30.621,-9.731,-47.891,-43.243
8.08.2015,-0.119,0.598,2.484,11.275,9.842,17.448,-2.378,0.743,0.394,0.984,5.602,3.061,-5.956,9.686,7.8,39.831,2.371,-4.047,-4.861,-11.194,63.259,83.251
9.09.2015,3.751,1.549,7.847,-6.811,-15.255,-23.034,-5.92,0.836,1.196,1.525,5.523,1.98,-26.867,-6.308,-9.836,-27.346,7.8,39.831,33.009,16.153,21.853,19.713
10.10.2015,1.958,1.672,5.375,39.037,15.468,4.671,-5.27,0.715,1.555,-0.201,-2.436,1.942,4.831,0.09,-5.956,9.686,-9.836,-27.346,-2.256,-10.611,-30.621,-9.731
11.11.2015,2.52,1.824,-1.238,-9.872,8.739,5.591,6.875,0.724,0.578,-1.423,-1.989,0,30.435,1.076,-26.867,-6.308,-5.956,9.686,2.371,-4.047,-4.861,-11.194
12.12.2015,0.156,1.132,-0.85,38.976,32.432,36.647,-2.635,0.451,0.007,-0.328,1.599,2.857,43.8,50.577,4.831,0.09,-26.867,-6.308,7.8,39.831,33.009,16.153
1.01.2016,-0.469,1.585,1.906,-49.028,-41.621,-35.588,8.722,0.773,1.356,0.546,3.076,2.778,-13.166,-29.405,30.435,1.076,4.831,0.09,-9.836,-27.346,-2.256,-10.611
2.02.2016,0.417,1.239,1.212,11.446,16.849,16.588,3.782,0.538,0.014,-0.203,-2.205,-1.802,1.281,14.942,43.8,50.577,30.435,1.076,-5.956,9.686,2.371,-4.047
