Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
644083584,Egitim ,9.05.2019,167.00,65.00,75.00,3.00,30.00,1.00,4.00,1.00,1.00,0.00,1.00
696137168,Hasanpasa ,28.05.2019,175.00,95.00,100.00,3.00,0.00,1.00,5.00,1.00,1.00,0.00,0.00
696813140,Hasanpasa ,31.05.2019,199.00,55.00,65.00,2.00,4.00,-1.00,3.00,1.00,0.00,0.00,0.00
670399423,Hasanpasa ,20.05.2019,220.00,70.00,85.00,3.00,7.00,-1.00,4.00,1.00,1.00,0.00,1.00
694947045,Hasanpasa ,23.05.2019,225.00,65.00,70.00,3.00,25.00,-1.00,4.00,1.00,1.00,0.00,0.00
593649128,Hasanpasa ,22.05.2019,240.00,75.00,90.00,3.00,7.00,0.00,4.00,1.00,0.00,0.00,1.00
593271716,Hasanpasa ,18.05.2019,240.00,75.00,75.00,3.00,7.00,-1.00,3.00,1.00,0.00,0.00,1.00
688996025,Hasanpasa ,29.05.2019,242.00,75.00,85.00,3.00,25.00,0.00,5.00,1.00,1.00,0.00,0.00
680865167,Hasanpasa ,6.05.2019,245.00,80.00,90.00,3.00,28.00,0.00,6.00,1.00,1.00,0.00,0.00
663447041,Hasanpasa ,21.02.2019,250.00,60.00,70.00,2.00,30.00,1.00,4.00,1.00,1.00,0.00,0.00
689718949,Hasanpasa ,1.05.2019,250.00,55.00,55.00,2.00,13.00,0.00,4.00,1.00,1.00,0.00,0.00
687072554,Hasanpasa ,27.05.2019,250.00,80.00,110.00,3.00,18.00,0.00,4.00,1.00,1.00,0.00,1.00
644494494,Hasanpasa ,8.05.2019,255.00,75.00,85.00,3.00,30.00,0.00,5.00,1.00,0.00,0.00,1.00
665891872,Hasanpasa ,3.05.2019,255.00,70.00,85.00,3.00,30.00,-1.00,4.00,1.00,0.00,0.00,0.00
691937105,Hasanpasa ,10.05.2019,260.00,75.00,80.00,3.00,25.00,0.00,4.00,1.00,1.00,0.00,0.00
669611686,Hasanpasa ,7.05.2019,260.00,50.00,65.00,3.00,30.00,-1.00,6.00,1.00,0.00,0.00,0.00
